가게,메뉴,가격,카테고리,이미지_URL
불아이스,사과쥬스,3500,음료,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b555e5a0f823.jpg

나는 닭강정 이다,닭강정(작은컵),5000,닭강정,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b3c2204a844a.jpg
나는 닭강정 이다,닭강정(큰컵),10000,닭강정,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b3c2204a844a.jpg

오산누들,여왕오징어튀김,7000,튀김,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b3b47ef78d02.jpg
오산누들,왕새우튀김,7000,튀김,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b3b47ef3904d.jpg
오산누들,무뼈닭발,10000,닭발,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b3b47ef449f3.jpg
오산누들,순쌀떡볶이,4000,떡볶이,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b3b47ef6983f.jpg
오산누들,옛날핫도그,2500,핫도그,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b3b47ef8a2d5.png

맛짱,닭강정(소),5000,닭강정,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b3b4713393ce.png
맛짱,닭강정(중),9000,닭강정,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b3b4713393ce.png
맛짱,닭강정(대),13000,닭강정,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b3b4713393ce.png
맛짱,치즈닭강정(중),10000,닭강정,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b3b46c56b400.jpg
맛짱,치즈닭강정(대),15000,닭강정,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b3b46c56b400.jpg

마이츄러스,츄러스,3000,츄러스,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b3b3c88e3a4f.jpg
마이츄러스,회오리감자,3000,회오리감자,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b3b3c89081b1.jpg

불타는네모반점,네모새우,5000,쉬림프,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b3b29b5988a1.jpg
불타는네모반점,레몬크림새우,5000,쉬림프,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b3b29b6dcb15.jpg

아라푸드,아라 핫도그,4000,핫도그,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b29fe616ba0a.png
아라푸드,타코야키 7개,3000,타코야키,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b29fdff08b7c.jpg
아라푸드,타코야키 12개,5000,타코야키,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b29fdff08b7c.jpg
아라푸드,타코야키 20개,8000,타코야키,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b29fdff08b7c.jpg
아라푸드,슬러시,2000,슬러시,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b29fdfeec02e.jpg
아라푸드,임실치즈아이스크림,3500,아이스크림,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b29fdff1b6d9.jpg

홀리츄릅,치마새우(꼬치구이),6000,꼬치,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b29fcc9176be.jpg
홀리츄릅,베이컨 새우말이 볶음밥,6000,볶음밥,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b29fcc93d33e.jpg
홀리츄릅,불고기 핫도그,5000,핫도그,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b29fcc95d62b.jpg
홀리츄릅,통살새우 핫도그,5000,핫도그,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b29fcc976645.jpg

허니푸드,파닭꼬치,3000,닭꼬치,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b0f41fd0a9da.jpg

미미핫도그,미미핫도그,1500,핫도그,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5a95fc5435294.jpg
미미핫도그,모짜렐라치즈 핫도그,2000,핫도그,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5a95fc5f1a63e.jpg

리틀 쿠반,쿠바샌드위치,7000,샌드위치,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5a1e9697422ad.png
리틀 쿠반,수제소시지,2000,소시지,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5a1e96a9b1373.png
리틀 쿠반,모히또,5000,모히또,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5a1e96b339dea.jpg

필살 샌드위치,필리 치즈 스테이크 샌드위치,7900,샌드위치,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59db193f2cd91.jpg
필살 샌드위치,연어 샌드위치,8500,샌드위치,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59db194fd7511.jpg
필살 샌드위치,닭발 샌드위치,8500,샌드위치,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59db195ce1a51.jpg

쁘띠분식,치즈 & 계란 후라이 컵밥,5000,컵밥,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59d1970c91002.jpg

말랑말랑분식,떡볶이,3000,떡볶이,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59c08a3f8ceaa.jpg
말랑말랑분식,남작비빔만두,5000,만두,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59c08a88c6162.jpg
말랑말랑분식,옛날 핫도그,2000,핫도그,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59c08a9c7a537.jpg

TAKO-BOOM,타코야키 6개,3000,타코야키,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59bce34120621.jpg
TAKO-BOOM,타코야키 12개,5000,타코야키,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59bce34120621.jpg
TAKO-BOOM,타코야키 25개,10000,타코야키,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59bce34120621.jpg

GAE SAE FOOD (개새 푸드트럭),계란듬뿍 샌드위치,3500,샌드위치,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59bcde70d902a.jpg
GAE SAE FOOD (개새 푸드트럭),감자사라다 샌드위치 ,3500,샌드위치,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59bcde8636614.jpg
GAE SAE FOOD (개새 푸드트럭),돈까스 샌드위치,6000,샌드위치,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59bcde95953b0.jpg
GAE SAE FOOD (개새 푸드트럭),불고기 샌드위치,5500,샌드위치,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59bcdea96cb22.jpg

킴스도넛,생 도넛츠,1000,빵,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59accca3c0b55.jpg
킴스도넛,찹쌀 도넛츠,1000,빵,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59accca3d82ea.jpg
킴스도넛,꽈배기,1000,빵,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59accca3eddda.jpg

차니차니 닭강정,두리서,6000,닭강정,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59b0da384fbe3.jpg
차니차니 닭강정,세시서,10000,닭강정,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59b0da384fbe3.jpg
차니차니 닭강정,다같이,16000,닭강정,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59b0da384fbe3.jpg

티로스(TEAROS),츄러스,2000,츄러스,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59acb0ef66f28.jpg
티로스(TEAROS),아이스크림,3000,아이스크림,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59acb0ef8e169.jpg
티로스(TEAROS),츄로핫도그,3000,핫도그,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59acb0ef8049e.jpg

THE JAYU(더 자유),뉴욕 핫도그,4000,핫도그,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59aceb9a72d59.jpg
THE JAYU(더 자유),아이스티,3000,아이스티,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59aa84a581514.jpg
THE JAYU(더 자유),딸기쥬스,4000,음료,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59aa8462b4acc.jpg
THE JAYU(더 자유),망고쥬스,4000,음료,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59aa8462b4acc.jpg
THE JAYU(더 자유),키위쥬스,4000,음료,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59aa8462b4acc.jpg
THE JAYU(더 자유),더치커피,4500,커피,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59aa848ae5616.jpg

총각마차,닭꼬치-소금구이,3000,닭꼬치,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59924d3c0cc40.jpg
총각마차,닭꼬치-바베큐,3000,닭꼬치,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59924d1e29a03.jpg
총각마차,닭꼬치-데리야끼,3000,닭꼬치,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59924d34c3141.jpg
총각마차,닭꼬치-매운맛,3000,닭꼬치,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59924d101a9f6.jpg
총각마차,치즈 추가,500,토핑,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59924d47a22fb.jpg
총각마차,깻잎 추가,500,토핑,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59924d2ab671b.jpg

겹겹이 쿡 샌드,바베큐 핫 샌드위치,4500,샌드위치,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5990f98b57ed6.jpg
겹겹이 쿡 샌드,치킨 바베큐 핫 샌드위치,4000,샌드위치,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5990f993aa0a8.jpg
겹겹이 쿡 샌드,참치 샐러드 샌드위치,3500,샌드위치,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5990f99cc9f85.jpg

치즈인더트랩,새우 버터구이,6000,쉬림프,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5971b7076bf1a.jpg
치즈인더트랩,구워먹는 치즈 (할로미 치즈),3000,꼬치,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5971b70d055c9.jpg

냠냠쩝쩝,국내산 수제 왕소시지,3500,소시지,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5968a3285a7c4.jpg
냠냠쩝쩝,프리미엄 파떡닭꼬치,3500,닭꼬치,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5968a31d24847.jpg
냠냠쩝쩝,양갈비 꼬치,4000,꼬치,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5968a322471d2.jpg

다코아찌,타코야끼 8개,3000,타코야끼,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5951d81ee25d7.jpg

서프독(SURFDOG),서프독(255g),5000,핫도그,https://cdn.imweb.me/upload/S2017041358eed92818b4f/594b3e9cc8340.jpg
서프독(SURFDOG),치즈독(250g),6000,핫도그,https://cdn.imweb.me/upload/S2017041358eed92818b4f/594b3e9f2b8e6.jpg
서프독(SURFDOG),불독(255g),7000,핫도그,https://cdn.imweb.me/upload/S2017041358eed92818b4f/594b3ea04ec76.jpg

달려라 자두씽,미니츄(3개),2000,츄러스,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5948b230846e0.jpg
달려라 자두씽,미니츄(5개),3000,츄러스,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5948b230846e0.jpg
달려라 자두씽,미니츄(9개),5000,츄러스,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5948b230846e0.jpg
달려라 자두씽,커피콩빵 (10개한컵),3000,빵,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5948b230a407b.jpg

깡패팩토리,깡패치킨팩,7000,치킨,https://cdn.imweb.me/upload/S2017041358eed92818b4f/594376ba8b58c.jpg
깡패팩토리,깡패소세지볼,7000,튀김,https://cdn.imweb.me/upload/S2017041358eed92818b4f/594376bab6a7c.jpg
깡패팩토리,깡패핫도그,2500,핫도그,https://cdn.imweb.me/upload/S2017041358eed92818b4f/594376bac8116.jpg

풍류인더트럭,베이직 핫도그,2500,핫도그,https://cdn.imweb.me/upload/S2017041358eed92818b4f/594258c9baae0.jpg
풍류인더트럭,칠리 핫도그,3000,핫도그,https://cdn.imweb.me/upload/S2017041358eed92818b4f/594258c9966ad.jpg
풍류인더트럭,치즈 핫도그,3500,핫도그,https://cdn.imweb.me/upload/S2017041358eed92818b4f/594258c9b16e2.jpg

OBBAYA CHU~ (오빠야츄),츄러스,2000,츄러스,https://cdn.imweb.me/upload/S2017041358eed92818b4f/593e21333d3c9.jpg
OBBAYA CHU~ (오빠야츄),핫도그,3000,핫도그,https://cdn.imweb.me/upload/S2017041358eed92818b4f/593e21334ea33.jpg

불꽃튀김,왕새우꼬치튀김,5900,튀김,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5936457c7ad07.jpg
불꽃튀김,왕파닭꼬치튀김,4000,튀김,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5936457c0d1f3.jpg
불꽃튀김,왕고추튀김,3200,튀김,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5936457c25e4d.jpg
불꽃튀김,왕김말이튀김,2500,튀김,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5936457c9c3d6.jpg
불꽃튀김,국물떡볶이,3000,떡볶이,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5936457c3f919.jpg

Wonder Dog (원더도그), 필리 스테이크 원더도그,6000,핫도그,https://cdn.imweb.me/upload/S2017041358eed92818b4f/592fef5692672.jpg

꽃보다 꼬치,왕닭꼬치,4000,닭꼬치,https://cdn.imweb.me/upload/S2017041358eed92818b4f/592d1ec97f461.jpg
꽃보다 꼬치,닭꼬치,3000,닭꼬치,https://cdn.imweb.me/upload/S2017041358eed92818b4f/592d1ec97f461.jpg
꽃보다 꼬치,핫도그,3000,핫도그,https://cdn.imweb.me/upload/S2017041358eed92818b4f/592d1f10abed7.jpg
꽃보다 꼬치,떡꼬치,2000,꼬치,https://cdn.imweb.me/upload/S2017041358eed92818b4f/592d1ee779106.jpg

Friend (프렌드),왕 닭꼬치,3000,닭꼬치,https://cdn.imweb.me/upload/S2017041358eed92818b4f/592405658f18c.jpg
Friend (프렌드),양꼬치,2000,꼬치,https://cdn.imweb.me/upload/S2017041358eed92818b4f/592405676ed50.jpg

HandWich (핸드위치),베이컨DLS 샌드위치,4500,샌드위치,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5922ccbb81e73.jpg
HandWich (핸드위치),참치 샌드위치,4500,샌드위치,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5922ccbb81e73.jpg
HandWich (핸드위치),닭안신살 샌드위치,4500,샌드위치,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5922ccbb81e73.jpg

쥬꼬면,양꼬치,2000,꼬치,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5922cb0ce706e.jpg
쥬꼬면,닭꼬치,3000,닭꼬치,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5922cb0a2276c.jpg
쥬꼬면,컵밥,4000,컵밥,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5922cb3037cd2.jpg
쥬꼬면,부산미도어묵,1000,어묵,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5922cb2262991.jpg

몽한량,닭꼬치,3000,닭꼬치,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59201fab3ba41.jpg

하하 푸드트럭,새우 핫도그,4000,핫도그,https://cdn.imweb.me/upload/S2017041358eed92818b4f/591ee4be66a46.jpg
하하 푸드트럭,대왕새우 핫도그,6000,핫도그,https://cdn.imweb.me/upload/S2017041358eed92818b4f/591ee4be66a46.jpg
하하 푸드트럭,새우야끼,5000,타코야끼,https://cdn.imweb.me/upload/S2017041358eed92818b4f/591ee3c701739.jpg
하하 푸드트럭,돈까스 샌드위치 & 감자튀김,6000,샌드위치,https://cdn.imweb.me/upload/S2017041358eed92818b4f/591ee44e015d6.jpg
하하 푸드트럭,타꼬야끼(12알),5000,타코야끼,https://cdn.imweb.me/upload/S2017041358eed92818b4f/591ee3b56dded.jpg
하하 푸드트럭,치킨꼬치,3500,꼬치,https://cdn.imweb.me/upload/S2017041358eed92818b4f/591ee5a5e2169.png
하하 푸드트럭,콜팝치킨,2500,치킨,https://cdn.imweb.me/upload/S2017041358eed92818b4f/591ee3f2779bd.png
하하 푸드트럭,마약핫도그,3500,핫도그,https://cdn.imweb.me/upload/S2017041358eed92818b4f/591ee49062cc2.jpg

Seoul Food Truck (서울푸드트럭),수제 미트볼 롤,6000,핫도그,https://cdn.imweb.me/upload/S2017041358eed92818b4f/591ea3ecbb1cf.jpg
Seoul Food Truck (서울푸드트럭),수제 소고기 롤,6000,핫도그,https://cdn.imweb.me/upload/S2017041358eed92818b4f/591ea3ef43fe2.jpg
Seoul Food Truck (서울푸드트럭),코울슬로 샐러드,2000,샐러드,https://cdn.imweb.me/upload/S2017041358eed92818b4f/591eaf969ae53.jpg

달리는 모모트럭,소세지 꼬치,2000,소시지,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5916cb0e9e270.jpg
달리는 모모트럭,핫도그,4000,핫도그,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5916ca9e0ace8.jpg

한입만,치즈 불고기 통감자,4900,통감자,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5911509a29aa0.jpg
한입만,타코,5000,타코,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5911509e78ac2.jpg
한입만,나쵸,3500,나쵸,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5911509bc7993.jpg

사랑애푸드카,오리지널치킨,8000,치킨,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59114fed2373a.jpg
사랑애푸드카,순살치킨,9000,치킨,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59114fe6152a0.jpg
사랑애푸드카,순살요델리,5000,치킨,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59114fe1ab470.jpg
사랑애푸드카,블랙폭강정,5000,튀김,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59114fe7b2bf4.jpg
사랑애푸드카,소감(소세지+감자튀김),4000,소시지,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59114ff3cdd40.jpg
사랑애푸드카,웨지감자튀김,3000,튀김,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59114fe46797a.jpg
사랑애푸드카,소세지,2000,소시지,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59114fe0074dd.jpg

SPARTACOOK'S (스파르타쿡스),탕수육 떡볶이,5000,떡볶이,https://cdn.imweb.me/upload/S2017041358eed92818b4f/590d7d22335bf.jpg

88닭강정,바삭 닭강정(중),6000,닭강정,https://cdn.imweb.me/upload/S2017041358eed92818b4f/591973e193816.png
88닭강정,바삭 닭강정(대),11000,닭강정,https://cdn.imweb.me/upload/S2017041358eed92818b4f/591973e193816.png
88닭강정,팔팔 달콤 닭강정(중),6000,닭강정,https://cdn.imweb.me/upload/S2017041358eed92818b4f/591973f7ab6e4.jpg
88닭강정,팔팔 달콤 닭강정(대),11000,닭강정,https://cdn.imweb.me/upload/S2017041358eed92818b4f/591973f7ab6e4.jpg

그남자의 소시지,마약핫도그,4000,핫도그,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5907f6f167f99.jpg
그남자의 소시지,치즈스틱,1500,치즈스틱,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5907f6fb9aa72.jpg
그남자의 소시지,전구에이드,3000,음료,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5907f6f708760.jpg

낭만꼬치,닭꼬치,3000,닭꼬치,https://cdn.imweb.me/upload/S2017041358eed92818b4f/590697ad03826.jpg

Churro king (츄로킹),츄러스,2000,츄러스,https://cdn.imweb.me/upload/S2017041358eed92818b4f/590695ac347f3.jpg

Shrimp LAB (쉬림프 랩),칠리 쉬림프,8000,쉬림프,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59842efb201f3.jpg
Shrimp LAB (쉬림프 랩),레몬크림 쉬림프,8000,쉬림프,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59842efb1bca5.jpg
Shrimp LAB (쉬림프 랩),갈릭버터 쉬림프,8000,쉬림프,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59842efb17287.jpg

매너닭,도깨비 핫도그,3000,핫도그,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5911599e3be15.jpg
매너닭,누텔라 순살치킨,6000,치킨,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5911597ed2545.jpg
매너닭,23cm 소세지 버거,5000,소시지,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5958d7b36993d.jpg
매너닭,30cm 소세지 버거,6000,소시지,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5958d7b0d70f9.jpg

나이스츄미츄,롱츄,2000,츄러스,https://cdn.imweb.me/upload/S2017041358eed92818b4f/58fd7d149084e.jpg
나이스츄미츄,아이스크림,2000,아이스크림,https://cdn.imweb.me/upload/S2017041358eed92818b4f/58fd7d1bf2298.jpg

ANDAMIRO (안다미로),로스트비프 샌드위치,7000,샌드위치,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59916008978a8.jpg
ANDAMIRO (안다미로),참치치즈 샌드위치,7000,샌드위치,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59916017e6b23.jpg

PEACEFUL food trailer (피스풀),오꼬노미야끼,5000,오꼬노미야끼,https://cdn.imweb.me/upload/S2017041358eed92818b4f/58f9895dd9026.jpg
PEACEFUL food trailer (피스풀),야끼소바,5000,면,https://cdn.imweb.me/upload/S2017041358eed92818b4f/58fd80e120a23.jpg


THE TRAVEL (더 트래블),타코,4000,타코,https://cdn.imweb.me/upload/S2017041358eed92818b4f/58f9885bd667f.jpg
THE TRAVEL (더 트래블),닭꼬치,3000,닭꼬치,https://cdn.imweb.me/upload/S2017041358eed92818b4f/58f9885f03fe7.jpg

Cube Yellow (큐브옐로우),큐브 스테이크,9000,스테이크,https://cdn.imweb.me/upload/S2017041358eed92818b4f/58f20440a0882.jpg
Cube Yellow (큐브옐로우),마약 롱 핫도그,5000,핫도그,https://cdn.imweb.me/upload/S2017041358eed92818b4f/58f20457a53f6.jpg
Cube Yellow (큐브옐로우),수제 츄러스,3000,츄러스,https://cdn.imweb.me/upload/S2017041358eed92818b4f/58f20460676d5.jpg

츄앤츄 츄러스,츄러스,2000,츄러스,https://cdn.imweb.me/upload/S2017041358eed92818b4f/58f202f03efdf.jpg

지요추,롱츄러스,4000,츄러스,https://cdn.imweb.me/upload/S2017041358eed92818b4f/58f201d94b2c1.png


달리는 야끼트럭,타코야끼(小) (8개),3000,타코야끼,https://cdn.imweb.me/upload/S2017041358eed92818b4f/58f202333e5d2.png
달리는 야끼트럭,타코야끼(中) (14개),5000,타코야끼,https://cdn.imweb.me/upload/S2017041358eed92818b4f/58f202333e5d2.png
달리는 야끼트럭,타코야끼(大) (28개),10000,타코야끼,https://cdn.imweb.me/upload/S2017041358eed92818b4f/58f202333e5d2.png


강정이네,닭강정 (혼자서),3000,닭강정,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5994f6294f315.jpg
강정이네,닭강정 (둘이서),6000,닭강정,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5994f6294f315.jpg
강정이네,닭강정 (셋이서),10000,닭강정,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5994f6294f315.jpg
